H,	M,	RANGE,	YEAR,
59609,	56940,	15 a 19,	2007,
69119,	68927,	20 a 24,	2007,
90472,	88205,	25 a 29,	2007,
101429,	95144,	30 a 34,	2007,
99276,	92663,	35 a 39,	2007,
91806,	86804,	40 a 44,	2007,
75282,	72170,	45 a 49,	2007,
61998,	60553,	50 a 54,	2007,
53222,	52408,	55 a 59,	2007,
47012,	47881,	60 a 64,	2007,
35856,	38138,	65 a 69,	2007,
33668,	39125,	70 a 74,	2007,
21830,	28767,	75 a 79,	2007,
12325,	18569,	80 a 84,	2007,
5254,	9779,	85 a 89,	2007,
2005,	4544,	90 a 94,	2007,
498,	1272,	95 a 99,	2007,
88,	235,	100+,	2007,
48010,	45163,	0 a 4,	2006,
50627,	49815,	5 a 9,	2006,
54345,	51534,	10 a 14,	2006,
60029,	57551,	15 a 19,	2006,
71175,	70516,	20 a 24,	2006,
92129,	88680,	25 a 29,	2006,
102027,	95093,	30 a 34,	2006,
97170,	90912,	35 a 39,	2006,
88804,	84180,	40 a 44,	2006,
72153,	68665,	45 a 49,	2006,
59650,	58212,	50 a 54,	2006,
51441,	50796,	55 a 59,	2006,
45168,	45589,	60 a 64,	2006,
35582,	38572,	65 a 69,	2006,
32574,	37932,	70 a 74,	2006,
20825,	27317,	75 a 79,	2006,
11818,	17924,	80 a 84,	2006,
5016,	9589,	85 a 89,	2006,
2164,	4673,	90 a 94,	2006,
536,	1391,	95 a 99,	2006,
151,	335,	100+,	2006,
47592,	44500,	0 a 4,	2005,
49937,	49487,	5 a 9,	2005,
55263,	52321,	10 a 14,	2005,
60271,	57842,	15 a 19,	2005,
73869,	72706,	20 a 24,	2005,
93501,	88966,	25 a 29,	2005,
102251,	94978,	30 a 34,	2005,
95276,	89592,	35 a 39,	2005,
85668,	81217,	40 a 44,	2005,
68953,	65348,	45 a 49,	2005,
57661,	55994,	50 a 54,	2005,
50120,	49863,	55 a 59,	2005,
43353,	43865,	60 a 64,	2005,
34596,	37819,	65 a 69,	2005,
31324,	36785,	70 a 74,	2005,
19744,	25897,	75 a 79,	2005,
11184,	17426,	80 a 84,	2005,
4920,	9353,	85 a 89,	2005,
2096,	4558,	90 a 94,	2005,
522,	1268,	95 a 99,	2005,
129,	265,	100+,	2005,
47141,	44239,	0 a 4,	2004,
48966,	48399,	5 a 9,	2004,
55855,	52823,	10 a 14,	2004,
59705,	57760,	15 a 19,	2004,
75140,	73917,	20 a 24,	2004,
92531,	87647,	25 a 29,	2004,
98977,	92477,	30 a 34,	2004,
92379,	87369,	35 a 39,	2004,
80030,	76133,	40 a 44,	2004,
65288,	62362,	45 a 49,	2004,
55440,	53427,	50 a 54,	2004,
48379,	47980,	55 a 59,	2004,
39589,	40638,	60 a 64,	2004,
35475,	38970,	65 a 69,	2004,
29532,	35041,	70 a 74,	2004,
18516,	24706,	75 a 79,	2004,
10246,	16034,	80 a 84,	2004,
5009,	9420,	85 a 89,	2004,
1896,	4123,	90 a 94,	2004,
439,	1171,	95 a 99,	2004,
125,	246,	100+,	2004,
47417,	44280,	0 a 4,	2003,
48904,	48708,	5 a 9,	2003,
56414,	53440,	10 a 14,	2003,
60201,	58291,	15 a 19,	2003,
77095,	75555,	20 a 24,	2003,
93265,	88208,	25 a 29,	2003,
97260,	90559,	30 a 34,	2003,
90871,	86004,	35 a 39,	2003,
76250,	73110,	40 a 44,	2003,
63007,	60295,	45 a 49,	2003,
54229,	51895,	50 a 54,	2003,
47299,	47235,	55 a 59,	2003,
37920,	39014,	60 a 64,	2003,
36532,	40163,	65 a 69,	2003,
28299,	33989,	70 a 74,	2003,
17943,	23754,	75 a 79,	2003,
9773,	15384,	80 a 84,	2003,
5062,	9460,	85 a 89,	2003,
1882,	4017,	90 a 94,	2003,
412,	1112,	95 a 99,	2003,
124,	236,	100+,	2003,
44161,	42367,	0 a 4,	2002,
49611,	48139,	5 a 9,	2002,
55871,	53351,	10 a 14,	2002,
61115,	59140,	15 a 19,	2002,
77488,	75590,	20 a 24,	2002,
92805,	87755,	25 a 29,	2002,
93383,	87909,	30 a 34,	2002,
86883,	82832,	35 a 39,	2002,
71989,	68819,	40 a 44,	2002,
60062,	57662,	45 a 49,	2002,
51772,	49742,	50 a 54,	2002,
45975,	45922,	55 a 59,	2002,
35851,	37126,	60 a 64,	2002,
36557,	40521,	65 a 69,	2002,
26316,	31698,	70 a 74,	2002,
17097,	22920,	75 a 79,	2002,
9158,	14501,	80 a 84,	2002,
5007,	9258,	85 a 89,	2002,
1767,	3932,	90 a 94,	2002,
379,	1009,	95 a 99,	2002,
106,	209,	100+,	2002,
39439,	38948,	0 a 4,	2001,
50022,	47297,	5 a 9,	2001,
55462,	53311,	10 a 14,	2001,
62118,	60403,	15 a 19,	2001,
77223,	74476,	20 a 24,	2001,
90280,	85689,	25 a 29,	2001,
88410,	84252,	30 a 34,	2001,
81944,	78672,	35 a 39,	2001,
67567,	64528,	40 a 44,	2001,
56553,	54775,	45 a 49,	2001,
49392,	47776,	50 a 54,	2001,
43720,	43247,	55 a 59,	2001,
35526,	37487,	60 a 64,	2001,
35214,	39057,	65 a 69,	2001,
25068,	30080,	70 a 74,	2001,
16455,	22097,	75 a 79,	2001,
8784,	14249,	80 a 84,	2001,
5124,	9373,	85 a 89,	2001,
1770,	3940,	90 a 94,	2001,
371,	986,	95 a 99,	2001,
95,	186,	100+,	2001,
37352,	37286,	0 a 4,	2000,
49904,	47129,	5 a 9,	2000,
54845,	53001,	10 a 14,	2000,
63696,	61909,	15 a 19,	2000,
76208,	73546,	20 a 24,	2000,
87196,	83482,	25 a 29,	2000,
83603,	81132,	30 a 34,	2000,
76447,	74298,	35 a 39,	2000,
62889,	60469,	40 a 44,	2000,
53408,	51808,	45 a 49,	2000,
47353,	46446,	50 a 54,	2000,
41311,	41130,	55 a 59,	2000,
33982,	36559,	60 a 64,	2000,
33411,	37456,	65 a 69,	2000,
23100,	28031,	70 a 74,	2000,
15160,	20854,	75 a 79,	2000,
8318,	13645,	80 a 84,	2000,
4728,	8823,	85 a 89,	2000,
1585,	3442,	90 a 94,	2000,
349,	844,	95 a 99,	2000,
34,	107,	100+,	2000,
